query_idx,ef_true,recall_at_ef_true,RV_gamma_0.1,RV_gamma_0.5,RV_gamma_1.0,RV_gamma_2.0,RV_gamma_5.0,RV_gamma_10.0,RV_gamma_20.0
6840,50,1.0,0.1,0.1,0.2,0.2,0.3,0.6,0.8
6044,200,1.0,0.2,0.2,0.3,0.3,0.4,0.5,0.7
5028,1850,1.0,0.1,0.1,0.1,0.1,0.2,0.6,0.9
9085,100,1.0,0.2,0.2,0.3,0.3,0.4,0.6,0.8
6737,50,1.0,0.2,0.3,0.3,0.3,0.5,0.8,0.8
5876,100,1.0,0.2,0.2,0.2,0.2,0.5,0.9,0.9
2140,700,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.5
418,50,1.0,0.3,0.3,0.4,0.4,0.6,0.8,0.9
1037,50,1.0,0.4,0.4,0.5,0.5,0.6,0.7,0.8
5518,700,1.0,0.2,0.2,0.2,0.2,0.4,0.6,0.8
3679,50,1.0,0.1,0.2,0.2,0.2,0.3,0.5,0.7
9561,100,1.0,0.2,0.2,0.3,0.3,0.4,0.6,0.7
3315,50,1.0,0.3,0.3,0.4,0.4,0.6,0.8,0.9
8573,3600,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.0
9655,1650,1.0,0.1,0.2,0.2,0.2,0.3,0.4,0.1
3098,2100,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.2
7230,50,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.9
3032,4350,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.0
2070,550,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.6
4919,50,1.0,0.2,0.2,0.2,0.3,0.4,0.6,0.8
8613,50,1.0,0.2,0.3,0.3,0.3,0.4,0.6,0.8
4385,50,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.8
4327,1400,1.0,0.1,0.1,0.2,0.2,0.3,0.4,0.6
5245,50,1.0,0.2,0.2,0.3,0.3,0.5,0.7,0.9
1906,3500,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.1
641,100,1.0,0.4,0.4,0.4,0.4,0.5,0.6,0.7
5622,50,1.0,0.2,0.3,0.3,0.3,0.5,0.8,0.9
5926,50,1.0,0.3,0.3,0.4,0.4,0.6,0.7,0.8
7065,350,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.6
5929,250,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
286,700,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.7
895,100,1.0,0.2,0.2,0.3,0.3,0.4,0.5,0.6
1565,2400,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.0
6980,200,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
1402,50,1.0,0.1,0.1,0.2,0.2,0.4,0.8,0.9
