query_id,score,recall
1233,70.6884,1
1234,70.2937,0.8
1235,48.6993,0.7
1236,57.8083,0.4
1237,64.8084,0.4
1238,56.8855,1
1239,69.3665,1
1240,65.6069,1
1241,79.1512,1
1242,61.743,0.9
1243,59.2586,1
1244,86.8225,1
1245,79.9538,1
1246,67.8448,1
1247,74.0751,1
1248,78.8097,1
1249,72.935,0.8
1250,53.0061,0.5
1251,81.6668,1
1252,85.3299,1
1253,81.9227,1
1254,73.0731,1
1255,74.582,1
1256,74.6896,0.9
1257,61.5421,0.5
1258,80.1701,0.9
1259,62.4129,1
1260,81.2088,1
1261,75.8433,1
1262,80.7627,1
1263,61.5028,1
1264,74.1799,1
1265,78.4709,0.8
1266,63.4797,1
1267,79.2173,1
1268,81.5583,1
1269,63.8057,1
1270,75.4763,1
1271,79.9318,1
1272,65.4724,0.9
1273,65.7975,0.9
1274,79.4166,1
1275,78.824,1
1276,62.2304,1
1277,81.3227,1
1278,61.6474,1
1279,68.8214,0.9
1280,65.8451,0.8
1281,59.4946,0.9
1282,71.9554,0.9
1283,68.7028,0.9
1284,66.4062,1
1285,74.2477,1
1286,64.021,0.8
1287,70.1249,1
1288,66.6555,1
1289,64.8229,0.3
1290,67.3712,0.8
1291,68.2511,0.8
1292,66.1671,1
1293,73.19,0.7
1294,71.87,1
1295,73.878,1
1296,71.2905,0.8
1297,75.3364,1
1298,78.349,0.9
1299,60.9107,0.7
1300,73.4637,1
1301,51.1847,0.5
1302,58.311,0.8
1303,58.5153,0.8
1304,68.2651,0.9
1305,66.0341,1
1306,79.6263,1
1307,70.9879,1
1308,84.9274,1
1309,56.5079,0.8
1310,78.3314,1
1311,78.8286,1
1312,78.1314,0.9
1313,52.2718,0.4
1314,75.6146,0.9
1315,74.5682,1
1316,87.1384,1
1317,74.7651,1
1318,77.2905,1
1319,68.0111,0.9
1320,68.6195,0.9
1321,67.8415,1
1322,65.6841,1
1323,72.237,1
1324,60.7906,0.9
1325,80.9874,1
1326,57.389,0.7
1327,74.1384,0.8
1328,68.8622,1
1329,71.985,0.8
1330,63.4976,0.7
1331,74.3809,1
1332,78.8052,1
1333,67.9835,0.9
1334,63.169,1
1335,75.1232,1
1336,78.2568,0.9
1337,82.1753,1
1338,80.6943,1
1339,70.2597,0.9
1340,82.2044,1
1341,86.0805,1
1342,64.0239,1
1343,62.1609,1
1344,63.1637,1
1345,69.9843,0.9
1346,71.1113,1
1347,71.4132,0.9
1348,79.7552,1
1349,62.2328,0.9
1350,84.0097,1
1351,75.7184,1
1352,69.5945,1
1353,72.2752,1
1354,74.6831,1
1355,64.2956,0.9
1356,62.2167,1
1357,69.501,1
1358,73.4434,1
1359,64.226,0.8
1360,62.503,0.7
1361,81.6575,1
1362,67.7599,1
1363,80.4916,1
1364,66.3541,0.6
1365,83.7768,1
1366,82.5786,1
1367,59.7024,0.9
1368,70.861,0.9
1369,58.1257,0.7
1370,68.474,1
1371,64.3498,1
1372,85.1072,1
1373,81.9291,1
1374,66.812,0.9
1375,63.737,1
1376,73.1039,1
1377,71.3763,0.8
1378,73.5863,0.8
1379,65.3197,1
1380,63.3235,1
1381,79.7225,1
1382,69.6508,0.7
1383,74.926,0.9
1384,57.2661,1
1385,68.814,0.9
1386,60.4589,1
1387,56.315,1
1388,69.078,1
1389,77.4634,1
1390,57.4449,0.6
1391,58.3376,1
