query_idx,ef_true,MR_gauss_5,MR_log
2836,50,0.581029,0.279316
8791,100,0.434802,0.371295
2782,50,0.529242,0.413302
1279,50,0.364485,0.265959
6442,50,0.465632,0.335227
1447,900,0.220039,0.244407
2872,2200,0.2284,0.212872
6269,100,0.426367,0.339397
7302,50,0.656454,0.376748
9793,300,0.350175,0.193675
5191,50,0.566228,0.379478
4608,5000,0.200247,0.267702
1999,650,0.240622,0.257412
1023,3100,0.158475,0.192965
9225,950,0.316461,0.267048
2391,700,0.289695,0.259811
1874,200,0.305066,0.258182
9114,50,0.671049,0.42482
8238,50,0.376776,0.334974
4265,100,0.308439,0.229065
9495,300,0.23704,0.268712
3682,50,0.644732,0.464598
6974,100,0.610513,0.489676
6453,200,0.230922,0.23083
8476,900,0.164894,0.221193
2309,50,0.718919,0.505572
8263,50,0.46391,0.474593
6020,50,0.665947,0.51968
1216,100,0.517192,0.399369
1012,50,0.362689,0.260594
5012,1650,0.269729,0.201781
1339,50,0.569197,0.3511
7181,150,0.284949,0.230945
4233,300,0.175791,0.191756
8649,150,0.378891,0.373072
2926,150,0.260516,0.278381
5022,4100,0.267405,0.371071
5286,100,0.38237,0.260234
9916,100,0.296305,0.248377
6785,50,0.620335,0.424168
3300,50,0.480762,0.374165
555,50,0.562947,0.41956
3444,1450,0.258509,0.293919
315,250,0.591745,0.398285
563,200,0.346117,0.248984
9629,50,0.334996,0.236632
9523,50,0.572373,0.469754
6979,200,0.199792,0.229137
9468,50,0.428621,0.412702
2544,250,0.252953,0.222431
5333,100,0.399899,0.312495
9877,50,0.375425,0.295592
687,100,0.563016,0.379153
7068,3050,0.199005,0.19338
2754,800,0.228495,0.238042
8126,50,0.415452,0.403774
8440,150,0.443209,0.255851
4217,1050,0.239789,0.254294
1925,50,0.521493,0.418893
6106,100,0.389423,0.383206
9166,50,0.468221,0.419493
4397,50,0.677734,0.547312
6060,3950,0.205345,0.226808
8971,50,0.593459,0.344592
2060,1900,0.176434,0.20593
2565,50,0.827045,0.645775
4522,150,0.344945,0.196439
1573,50,0.482145,0.381297
9555,100,0.367998,0.253777
4524,50,0.576242,0.443898
6186,600,0.176674,0.210106
1509,1600,0.242643,0.237299
8049,200,0.277284,0.299989
6896,100,0.582779,0.447926
1771,5000,0.223954,0.218568
5379,50,0.570521,0.454464
3401,100,0.590189,0.390313
1347,1050,0.297164,0.24693
3745,50,0.560117,0.366298
2556,50,0.515248,0.448303
3254,50,0.444043,0.399362
5042,200,0.339453,0.267526
4724,150,0.3876,0.333827
9449,50,0.580683,0.572044
9115,950,0.310188,0.224209
938,1750,0.322938,0.324153
8623,50,0.589861,0.442741
5933,50,0.371734,0.292961
2137,550,0.176908,0.203939
273,50,0.300909,0.281629
7782,50,0.470767,0.342072
503,50,0.645016,0.569224
872,50,0.352139,0.165162
9059,50,0.623042,0.461033
4510,200,0.35372,0.323042
1585,50,0.501301,0.434977
6542,650,0.43753,0.293286
3549,100,0.339684,0.289165
9332,150,0.342728,0.230744
488,950,0.182822,0.203515
7214,50,0.465731,0.357252
5018,50,0.556851,0.554005
8314,50,0.467968,0.371149
9257,2850,0.165491,0.2577
141,50,0.626499,0.575792
4595,50,0.334975,0.259631
5695,1500,0.177464,0.182619
4579,3200,0.269069,0.254849
7527,50,0.275595,0.261031
9321,100,0.46271,0.396357
239,650,0.210585,0.283032
5485,150,0.370295,0.377474
4188,50,0.363407,0.374262
7689,100,0.305975,0.206751
1027,50,0.655031,0.571324
9496,50,0.695065,0.6207
6090,100,0.455127,0.357891
4702,300,0.198259,0.204127
7879,300,0.314739,0.224301
4760,350,0.343211,0.25386
1146,5000,0.207185,0.231432
6960,50,0.466867,0.482933
351,3800,0.291696,0.247988
1525,2450,0.18178,0.190658
9753,500,0.274539,0.152718
9619,550,0.250869,0.250756
9715,500,0.239108,0.209938
5717,100,0.453756,0.423042
2452,50,0.365977,0.307059
7907,50,0.470143,0.310128
2356,100,0.346129,0.340766
9868,50,0.775402,0.626702
8833,250,0.252916,0.234414
4525,50,0.329057,0.334139
4990,50,0.664888,0.530791
8237,50,0.434694,0.410433
9067,50,0.542246,0.516376
8468,50,0.418121,0.287357
1029,1350,0.210438,0.192569
251,50,0.527654,0.536801
4733,50,0.43945,0.354213
4528,400,0.321753,0.296084
817,1800,0.175731,0.187584
3074,5000,0.159274,0.189167
5494,50,0.431505,0.310073
102,1500,0.233035,0.249652
3267,50,0.68189,0.461351
4610,2550,0.212359,0.220248
4540,50,0.44336,0.364654
8958,300,0.225233,0.278623
3111,1500,0.165909,0.191065
2860,4350,0.183394,0.195532
5053,50,0.510909,0.348557
1616,50,0.500424,0.378426
6331,50,0.2793,0.283226
4979,750,0.29902,0.296088
6202,50,0.624956,0.557134
4511,400,0.212846,0.258203
3969,450,0.300006,0.203833
7737,50,0.520373,0.384291
6520,50,0.714269,0.527173
1147,700,0.218273,0.220416
4533,100,0.363225,0.317606
2053,50,0.53907,0.426289
6722,50,0.409695,0.35805
9187,50,0.709159,0.607384
1853,50,0.564923,0.430309
236,100,0.262118,0.204619
1393,100,0.480555,0.406352
56,200,0.262366,0.250642
1552,150,0.238279,0.284353
497,50,0.345618,0.307536
8123,1450,0.180235,0.230719
3442,50,0.457441,0.284677
8752,1600,0.191439,0.202823
2373,50,0.496504,0.304395
1315,50,0.554179,0.492598
1311,50,0.707758,0.600416
9689,5000,0.183547,0.239908
8361,4400,0.252552,0.205937
1272,450,0.323136,0.259067
4831,200,0.383276,0.311482
9131,50,0.652629,0.580463
9526,5000,0.338641,0.332835
5825,600,0.168753,0.210593
6981,50,0.608355,0.402094
4356,850,0.229407,0.23848
7639,600,0.232597,0.208854
6069,50,0.620755,0.466474
9264,100,0.459286,0.358773
2496,50,0.74258,0.551951
9123,600,0.290388,0.250255
1940,300,0.327017,0.229509
7121,400,0.312829,0.231403
7809,150,0.270295,0.220232
868,50,0.574166,0.437753
9485,50,0.577309,0.486449
3366,2400,0.259864,0.186685
3421,450,0.269541,0.244922
2164,50,0.714174,0.573014
5111,50,0.545062,0.409252
5951,50,0.428917,0.35148
9545,50,0.639948,0.587872
1952,150,0.415764,0.32377
5797,300,0.24611,0.193321
214,450,0.29694,0.237168
5112,50,0.625427,0.525164
3317,50,0.399629,0.378193
9433,3500,0.175178,0.229896
2868,100,0.540805,0.421423
719,200,0.245742,0.212107
5438,700,0.313053,0.286682
8827,1100,0.256009,0.240873
4599,1000,0.201436,0.212311
1364,100,0.389324,0.301321
2139,50,0.51842,0.409414
6623,800,0.252175,0.31748
3712,50,0.557414,0.517202
5323,600,0.3185,0.257233
4427,700,0.252964,0.220172
2156,400,0.237499,0.26992
7532,50,0.551673,0.39584
7399,50,0.648716,0.569785
5337,4150,0.180987,0.235007
4657,2450,0.261144,0.20808
4498,200,0.370278,0.270531
1228,50,0.389379,0.383382
7453,450,0.267388,0.242064
3944,50,0.656351,0.437843
6457,250,0.355243,0.24004
3410,50,0.496984,0.392156
1674,250,0.29019,0.300612
4375,200,0.26421,0.218921
624,550,0.328582,0.276285
4683,50,0.49596,0.449797
4288,250,0.279274,0.271778
2413,500,0.177903,0.22704
7135,100,0.318493,0.267674
6654,50,0.525125,0.491048
2845,50,0.451146,0.417033
6837,50,0.581814,0.329429
366,800,0.351629,0.318348
779,1600,0.271218,0.241738
6708,1400,0.29635,0.283495
6604,50,0.544464,0.377165
9999,100,0.297945,0.202038
165,50,0.534543,0.357089
5370,4400,0.344246,0.189555
6767,50,0.433648,0.29315
1836,50,0.691629,0.494946
9104,950,0.232656,0.241361
1409,50,0.689351,0.582226
5904,50,0.578352,0.4226
1994,200,0.32681,0.22595
120,50,0.564042,0.38668
136,50,0.55682,0.469381
892,3200,0.391612,0.336562
9616,5000,0.345318,0.281297
2073,300,0.297383,0.267844
7449,3600,0.190077,0.225995
5048,50,0.652728,0.559015
9596,50,0.47637,0.466858
3800,50,0.445368,0.346019
4162,150,0.38279,0.378189
6307,250,0.442477,0.312768
3322,200,0.421321,0.311758
1250,950,0.254782,0.258139
8026,200,0.24977,0.189402
587,100,0.429179,0.368779
2968,50,0.731489,0.581922
2547,50,0.420941,0.268048
3778,50,0.449716,0.377628
7027,50,0.807445,0.609137
4235,50,0.563019,0.522938
2572,100,0.443302,0.332277
5573,1600,0.176311,0.231603
4502,1000,0.338549,0.252199
4232,50,0.451585,0.358073
8244,50,0.75918,0.575069
3848,150,0.324957,0.325339
4582,50,0.446194,0.348488
234,1050,0.290447,0.237265
8662,50,0.634772,0.583158
9669,50,0.527877,0.489619
7118,50,0.641779,0.499384
4297,50,0.530176,0.418525
7042,50,0.457126,0.428692
3288,1250,0.284221,0.238901
323,1050,0.306099,0.304034
1277,50,0.762547,0.628226
8679,50,0.490304,0.367515
271,850,0.311839,0.234517
9444,50,0.601577,0.530182
62,1300,0.194816,0.206539
7441,800,0.209159,0.273347
7421,2500,0.188197,0.208039
8438,5000,0.399362,0.36557
3614,950,0.208287,0.203919
7596,1800,0.202922,0.237021
792,50,0.537663,0.469374
401,50,0.596395,0.489811
2343,50,0.474891,0.399236
5192,100,0.475082,0.37116
356,50,0.688652,0.593271
118,50,0.721219,0.596384
4290,300,0.189959,0.190691
9642,50,0.391119,0.306062
9639,50,0.707256,0.56881
831,4800,0.20076,0.197493
9756,50,0.431854,0.335126
7084,1300,0.217679,0.202167
1507,200,0.178496,0.233043
3962,800,0.235063,0.22037
9213,1250,0.273266,0.226051
3633,1150,0.243683,0.206858
1802,2050,0.246869,0.204974
3884,50,0.409361,0.368064
3280,50,0.440979,0.349625
8505,200,0.397387,0.315901
8756,3350,0.17454,0.171132
