query_id,score,recall
1218,57.1559,0.78
1219,65.0294,0.52
1220,44.4081,0.36
1221,58.3088,0.6
1222,66.1808,0.9
1223,82.9883,0.96
1224,50.8897,0.26
1225,81.8298,0.84
1226,81.2994,0.94
1227,53.1429,0.68
1228,67.1905,0.88
1229,79.1689,0.98
1230,81.9842,0.96
1231,48.912,0.52
1232,34.5805,0.38
1233,72.14,0.9
1234,81.3207,1
1235,47.7997,0.22
1236,59.604,0.56
1237,71.0831,0.9
1238,84.6489,0.76
1239,48.6284,0.28
1240,49.1557,0.66
1241,55.7719,0.16
1242,48.7701,0.52
1243,40.0619,0.1
1244,48.1882,0.6
1245,63.9828,0.62
1246,45.2947,0.44
1247,36.1911,0.36
1248,81.1306,1
1249,86.0445,0.8
1250,49.4352,0.28
1251,64.0823,0.74
1252,44.9005,0.2
1253,65.0322,0.9
1254,47.1103,0.1
1255,72.2662,0.94
1256,51.6989,0.64
1257,48.062,0.22
1258,80.7833,0.84
1259,39.32,0.7
1260,50.1063,0.56
1261,82.3508,1
1262,49.7236,0.58
1263,64.3712,0.84
1264,86.0888,0.92
1265,77.7028,0.76
1266,56.4742,0.06
1267,37.7766,0.6
1268,66.9576,0.7
1269,50.4265,0.14
1270,64.342,0.58
